4,inb,jp,itm/normal,1|2
5,iub,jp,itm/usable,1|2
6,iwb,jp,itm/weapon,1|2
7,iab,jp,itm/armor,1|2
8,ipb,jp,itm/puppet,1|2
9,icb,jp,itm/currency,
12,sd,jp,sys/status_data,
30,xis,jp,lobby/message,
32,xis,jp,etc/misc_message_01,
45,xis,jp,etc/time_formatter,
48,xis,en,lobby/message,
50,xis,en,etc/misc_message_01,
63,xis,en,etc/time_formatter,
67,xis,en,etc/job_abbr,
69,xis,en,etc/race_gender_enum,
73,inb,en,itm/normal,
74,iub,en,itm/usable,
75,iwb,en,itm/weapon,
76,iab,en,itm/armor,
77,ipb,en,itm/puppet,
87,sd,en,sys/status_data,
91,icb,en,itm/currency,
6120,evsb,jp,ev/unknown,
6121,evsb,jp,ev/Phanauet Channel,
6122,evsb,jp,ev/Carpenters' Landing,
6123,evsb,jp,ev/Manaclipper,
6124,evsb,jp,ev/Bibiki Bay,
6125,evsb,jp,ev/Uleguerand Range,
6126,evsb,jp,ev/Bearclaw Pinnacle,
6127,evsb,jp,ev/Attohwa Chasm,
6128,evsb,jp,ev/Boneyard Gully,
6129,evsb,jp,ev/Pso'Xja,
6130,evsb,jp,ev/The Shrouded Maw,
6131,evsb,jp,ev/Oldton Movalpolos,
6132,evsb,jp,ev/Newton Movalpolos,
6133,evsb,jp,ev/Mine Shaft 2716,
6134,evsb,jp,ev/Hall of Transference,
6135,evsb,jp,ev/Abyssea - Konschtat,
6136,evsb,jp,ev/Promyvion - Holla,
6137,evsb,jp,ev/Spire of Holla,
6138,evsb,jp,ev/Promyvion - Dem,
6139,evsb,jp,ev/Spire of Dem,
6140,evsb,jp,ev/Promyvion - Mea,
6141,evsb,jp,ev/Spire of Mea,
6142,evsb,jp,ev/Promyvion - Vahzl,
6143,evsb,jp,ev/Spire of Vahzl,
6144,evsb,jp,ev/Lufaise Meadows,
6145,evsb,jp,ev/Misareaux Coast,
6146,evsb,jp,ev/Tavnazian Safehold,
6147,evsb,jp,ev/Phomiuna Aqueducts,
6148,evsb,jp,ev/Sacrarium,
6149,evsb,jp,ev/Riverne - Site B01,
6150,evsb,jp,ev/Riverne - Site A01,
6151,evsb,jp,ev/Monarch Linn,
6152,evsb,jp,ev/Sealion's Den,
6153,evsb,jp,ev/Al'Taieu,
6154,evsb,jp,ev/Grand Palace of Hu'Xzoi,
6155,evsb,jp,ev/The Garden of Ru'Hmet,
6156,evsb,jp,ev/Empyreal Paradox,
6157,evsb,jp,ev/Temenos,
6158,evsb,jp,ev/Apollyon,
6159,evsb,jp,ev/Dynamis - Valkurm,
6160,evsb,jp,ev/Dynamis - Buburimu,
6161,evsb,jp,ev/Dynamis - Qufim,
6162,evsb,jp,ev/Dynamis - Tavnazia,
6163,evsb,jp,ev/Diorama Abdhaljs-Ghelsba,
6164,evsb,jp,ev/Abdhaljs Isle-Purgonorgo,
6165,evsb,jp,ev/Abyssea - Tahrongi,
6166,evsb,jp,ev/Open sea route to Al Zahbi,
6167,evsb,jp,ev/Open sea route to Mhaura,
6168,evsb,jp,ev/Al Zahbi,
6170,evsb,jp,ev/Aht Urhgan Whitegate,
6171,evsb,jp,ev/Wajaom Woodlands,
6172,evsb,jp,ev/Bhaflau Thickets,
6173,evsb,jp,ev/Nashmau,
6174,evsb,jp,ev/Arrapago Reef,
6175,evsb,jp,ev/Ilrusi Atoll,
6176,evsb,jp,ev/Periqia,
6177,evsb,jp,ev/Talacca Cove,
6178,evsb,jp,ev/Silver Sea route to Nashmau,
6179,evsb,jp,ev/Silver Sea route to Al Zahbi,
6180,evsb,jp,ev/The Ashu Talif,
6181,evsb,jp,ev/Mount Zhayolm,
6182,evsb,jp,ev/Halvung,
6183,evsb,jp,ev/Lebros Cavern,
6184,evsb,jp,ev/Navukgo Execution Chamber,
6185,evsb,jp,ev/Mamook,
6186,evsb,jp,ev/Mamool Ja Training Grounds,
6187,evsb,jp,ev/Jade Sepulcher,
6188,evsb,jp,ev/Aydeewa Subterrane,
6189,evsb,jp,ev/Leujaoam Sanctum,
6190,evsb,jp,ev/Chocobo Circuit,
6191,evsb,jp,ev/The Colosseum,
6192,evsb,jp,ev/Alzadaal Undersea Ruins,
6193,evsb,jp,ev/Zhayolm Remnants,
6194,evsb,jp,ev/Arrapago Remnants,
6195,evsb,jp,ev/Bhaflau Remnants,
6196,evsb,jp,ev/Silver Sea Remnants,
6197,evsb,jp,ev/Nyzul Isle,
6198,evsb,jp,ev/Hazhalm Testing Grounds,
6199,evsb,jp,ev/Caedarva Mire,
6200,evsb,jp,ev/Southern San d'Oria [S],
6201,evsb,jp,ev/East Ronfaure [S],
6202,evsb,jp,ev/Jugner Forest [S],
6203,evsb,jp,ev/Vunkerl Inlet [S],
6204,evsb,jp,ev/Batallia Downs [S],
6205,evsb,jp,ev/La Vaule [S],
6206,evsb,jp,ev/Everbloom Hollow,
6207,evsb,jp,ev/Bastok Markets [S],
6208,evsb,jp,ev/North Gustaberg [S],
6209,evsb,jp,ev/Grauberg [S],
6210,evsb,jp,ev/Pashhow Marshlands [S],
6211,evsb,jp,ev/Rolanberry Fields [S],
6212,evsb,jp,ev/Beadeaux [S],
6213,evsb,jp,ev/Ruhotz Silvermines,
6214,evsb,jp,ev/Windurst Waters [S],
6215,evsb,jp,ev/West Sarutabaruta [S],
6216,evsb,jp,ev/Fort Karugo-Narugo [S],
6217,evsb,jp,ev/Meriphataud Mountains [S],
6218,evsb,jp,ev/Sauromugue Champaign [S],
6219,evsb,jp,ev/Castle Oztroja [S],
6220,evsb,jp,ev/West Ronfaure,
6221,evsb,jp,ev/East Ronfaure,
6222,evsb,jp,ev/La Theine Plateau,
6223,evsb,jp,ev/Valkurm Dunes,
6224,evsb,jp,ev/Jugner Forest,
6225,evsb,jp,ev/Batallia Downs,
6226,evsb,jp,ev/North Gustaberg,
6227,evsb,jp,ev/South Gustaberg,
6228,evsb,jp,ev/Konschtat Highlands,
6229,evsb,jp,ev/Pashhow Marshlands,
6230,evsb,jp,ev/Rolanberry Fields,
6231,evsb,jp,ev/Beaucedine Glacier,
6232,evsb,jp,ev/Xarcabard,
6233,evsb,jp,ev/Cape Teriggan,
6234,evsb,jp,ev/Eastern Altepa Desert,
6235,evsb,jp,ev/West Sarutabaruta,
6236,evsb,jp,ev/East Sarutabaruta,
6237,evsb,jp,ev/Tahrongi Canyon,
6238,evsb,jp,ev/Buburimu Peninsula,
6239,evsb,jp,ev/Meriphataud Mountains,
6240,evsb,jp,ev/Sauromugue Champaign,
6241,evsb,jp,ev/The Sanctuary of Zi'Tah,
6242,evsb,jp,ev/Ro'Maeve,
6243,evsb,jp,ev/Yuhtunga Jungle,
6244,evsb,jp,ev/Yhoator Jungle,
6245,evsb,jp,ev/Western Altepa Desert,
6246,evsb,jp,ev/Qufim Island,
6247,evsb,jp,ev/Behemoth's Dominion,
6248,evsb,jp,ev/Valley of Sorrows,
6249,evsb,jp,ev/Ghoyu's Reverie,
6250,evsb,jp,ev/Ru'Aun Gardens,
6251,evsb,jp,ev/Mordion Gaol,
6252,evsb,jp,ev/Abyssea - La Theine,
6253,evsb,jp,ev/Outer Ra'Kaznar [U2],
6254,evsb,jp,ev/Dynamis - Beaucedine,
6255,evsb,jp,ev/Dynamis - Xarcabard,
6256,evsb,jp,ev/Beaucedine Glacier [S],
6257,evsb,jp,ev/Xarcabard [S],
6258,evsb,jp,ev/Castle Zvahl Baileys [S],
6259,evsb,jp,ev/Horlais Peak,
6260,evsb,jp,ev/Ghelsba Outpost,
6261,evsb,jp,ev/Fort Ghelsba,
6262,evsb,jp,ev/Yughott Grotto,
6263,evsb,jp,ev/Palborough Mines,
6264,evsb,jp,ev/Waughroon Shrine,
6265,evsb,jp,ev/Giddeus,
6266,evsb,jp,ev/Balga's Dais,
6267,evsb,jp,ev/Beadeaux,
6268,evsb,jp,ev/Qulun Dome,
6269,evsb,jp,ev/Davoi,
6270,evsb,jp,ev/Monastic Cavern,
6271,evsb,jp,ev/Castle Oztroja,
6272,evsb,jp,ev/Altar Room,
6273,evsb,jp,ev/The Boyahda Tree,
6274,evsb,jp,ev/Dragon's Aery,
6275,evsb,jp,ev/Castle Zvahl Keep [S],
6276,evsb,jp,ev/Throne Room [S],
6277,evsb,jp,ev/Middle Delkfutt's Tower,
6278,evsb,jp,ev/Upper Delkfutt's Tower,
6279,evsb,jp,ev/Temple of Uggalepih,
6280,evsb,jp,ev/Den of Rancor,
6281,evsb,jp,ev/Castle Zvahl Baileys,
6282,evsb,jp,ev/Castle Zvahl Keep,
6283,evsb,jp,ev/Sacrificial Chamber,
6284,evsb,jp,ev/Garlaige Citadel [S],
6285,evsb,jp,ev/Throne Room,
6286,evsb,jp,ev/Ranguemont Pass,
6287,evsb,jp,ev/Bostaunieux Oubliette,
6288,evsb,jp,ev/Chamber of Oracles,
6289,evsb,jp,ev/Toraimarai Canal,
6290,evsb,jp,ev/Full Moon Fountain,
6291,evsb,jp,ev/Crawlers' Nest [S],
6292,evsb,jp,ev/Zeruhn Mines,
6293,evsb,jp,ev/Korroloka Tunnel,
6294,evsb,jp,ev/Kuftal Tunnel,
6295,evsb,jp,ev/The Eldieme Necropolis [S],
