ROM/27/65,evsb,ja,gev/skill_name,
ROM/27/67,evsb,ja,gev/term,
ROM/27/69,evsb,ja,gev/emote,
ROM/27/71,evsb,ja,gev/battle,
ROM/27/73,evsb,ja,gev/status,
ROM/27/75,evsb,ja,gev/message,
ROM/27/79,evsb,ja,gev/action,
ROM/97/8,xis,ja,lobby/message,
ROM/97/20,xis,ja,etc/misc_message_01,
ROM/118/102,xis,ja,etc/time_formatter,
ROM/165/53,dmsg,ja,lobby/misc_message,1
ROM/165/54,dmsg,ja,sys/error_message,1
ROM/165/56,dmsg,ja,sys/misc_string_01,1
ROM/165/58,dmsg,ja,sys/menu/text,1
ROM/165/59,dmsg,ja,sys/menu/help,1
ROM/165/60,dmsg,ja,sys/menu/title,1
ROM/165/61,dmsg,ja,sys/menu/text2,1
ROM/165/62,dmsg,ja,sys/region,1
ROM/165/63,dmsg,ja,sys/area,1
ROM/165/64,dmgs,ja,sys/job,1
ROM/165/65,dmsg,ja,sys/weather,1
ROM/165/66,dmsg,ja,sys/element,1
ROM/165/67,dmsg,ja,sys/orientation,1
ROM/165/68,dmsg,ja,sys/moon_phase,1
ROM/166/115,dmsg,ja,sys/blue_magic_help,1
ROM/169/74,dmsg,ja,sys/meritpoint_text,1
ROM/173/88,dmsg,ja,sys/text_command_help,1
ROM/175/32,dmsg,ja,sys/equip_slot,1
#ROM/175/34,dmsg,ja,sys/key_item,2|3
#ROM/176/46,dmsg,ja,sys/qst/sd,2|3
#ROM/176/47,dmsg,ja,sys/qst/bs,2|3
#ROM/176/48,dmsg,ja,sys/qst/ws,2|3
#ROM/176/49,dmsg,ja,sys/qst/jn,2|3
#ROM/176/50,dmsg,ja,sys/qst/ot,2|3
#ROM/176/51,dmsg,ja,sys/qst/fr,2|3
#ROM/176/52,dmsg,ja,sys/qst/at,2|3
#ROM/176/53,dmsg,ja,sys/mis/sd,2|3
#ROM/176/54,dmsg,ja,sys/mis/bs,2|3
#ROM/176/55,dmsg,ja,sys/mis/ws,2|3
#ROM/176/56,dmsg,ja,sys/mis/zl,2|3
#ROM/176/57,dmsg,ja,sys/mis/pm,2|3
#ROM/176/58,dmsg,ja,sys/mis/as,2|3
#ROM/176/59,dmsg,ja,sys/mis/at,2|3
ROM/180/77,dmsg,ja,sys/titles,
ROM/180/101,dmsg,ja,sys/status,1
ROM/181/68,dmsg,ja,sys/weapon_skill,1
ROM/181/69,dmsg,ja,sys/magic,1
