4,inb,ja,itm/normal,1|2
5,iub,ja,itm/usable,1|2
6,iwb,ja,itm/weapon,1|2
7,iab,ja,itm/armor,1|2
8,ipb,ja,itm/puppet,1|2
9,icb,ja,itm/currency
12,sd,ja,sys/status_data
2768,evsb,ja,ev/Abyssea - Konschtat
2798,evsb,ja,ev/Abyssea - Tahrongi
2833,evsb,ja,ev/Southern San d'Oria [S]
2834,evsb,ja,ev/East Ronfaure [S]
2835,evsb,ja,ev/Jugner Forest [S]
2836,evsb,ja,ev/Vunkerl Inlet [S]
2837,evsb,ja,ev/Batallia Downs [S]
2838,evsb,ja,ev/La Vaule [S]
2839,evsb,ja,ev/Everbloom Hollow
2840,evsb,ja,ev/Bastok Markets [S]
2841,evsb,ja,ev/North Gustaberg [S]
2842,evsb,ja,ev/Grauberg [S]
2843,evsb,ja,ev/Pashhow Marshlands [S]
2844,evsb,ja,ev/Rolanberry Fields [S]
2845,evsb,ja,ev/Beadeaux [S]
2846,evsb,ja,ev/Ruhotz Silvermines
2847,evsb,ja,ev/Windurst Waters [S]
2848,evsb,ja,ev/West Sarutabaruta [S]
2849,evsb,ja,ev/Fort Karugo-Narugo [S]
2850,evsb,ja,ev/Meriphataud Mountains [S]
2851,evsb,ja,ev/Sauromugue Champaign [S]
2852,evsb,ja,ev/Castle Oztroja [S]
2853,evsb,ja,ev/West Ronfaure
2854,evsb,ja,ev/East Ronfaure
2855,evsb,ja,ev/La Theine Plateau
2856,evsb,ja,ev/Valkurm Dunes
2857,evsb,ja,ev/Jugner Forest
2858,evsb,ja,ev/Batallia Downs
2859,evsb,ja,ev/North Gustaberg
2860,evsb,ja,ev/South Gustaberg
2861,evsb,ja,ev/Konschtat Highlands
2862,evsb,ja,ev/Pashhow Marshlands
2863,evsb,ja,ev/Rolanberry Fields
2864,evsb,ja,ev/Beaucedine Glacier
2865,evsb,ja,ev/Xarcabard
2868,evsb,ja,ev/West Sarutabaruta
2869,evsb,ja,ev/East Sarutabaruta
2870,evsb,ja,ev/Tahrongi Canyon
2871,evsb,ja,ev/Buburimu Peninsula
