4,inb,ja,itm/normal,1|2
5,iub,ja,itm/usable,1|2
6,iwb,ja,itm/weapon,1|2
7,iab,ja,itm/armor,1|2
8,ipb,ja,itm/puppet,1|2
9,icb,ja,itm/currency,
12,sd,ja,sys/status_data,
30,xis,ja,lobby/message,
32,xis,ja,etc/misc_message_01,
45,xis,ja,etc/time_formatter,
48,xis,en,lobby/message,
50,xis,en,etc/misc_message_01,
63,xis,en,etc/time_formatter,
67,xis,en,etc/job_abbr,
69,xis,en,etc/race_gender_enum,
73,inb,en,itm/normal,
74,iub,en,itm/usable,
75,iwb,en,itm/weapon,
76,iab,en,itm/armor,
77,ipb,en,itm/puppet,
87,sd,en,sys/status_data,
91,icb,en,itm/currency,
6120,evsb,ja,ev/unknown,
6121,evsb,ja,ev/Phanauet Channel,
6122,evsb,ja,ev/Carpenters' Landing,
6123,evsb,ja,ev/Manaclipper,
6124,evsb,ja,ev/Bibiki Bay,
6125,evsb,ja,ev/Uleguerand Range,
6126,evsb,ja,ev/Bearclaw Pinnacle,
6127,evsb,ja,ev/Attohwa Chasm,
6128,evsb,ja,ev/Boneyard Gully,
6129,evsb,ja,ev/Pso'Xja,
6130,evsb,ja,ev/The Shrouded Maw,
6131,evsb,ja,ev/Oldton Movalpolos,
6132,evsb,ja,ev/Newton Movalpolos,
6133,evsb,ja,ev/Mine Shaft #2716,
6134,evsb,ja,ev/Hall of Transference,
6135,evsb,ja,ev/Abyssea - Konschtat,
6136,evsb,ja,ev/Promyvion - Holla,
6137,evsb,ja,ev/Spire of Holla,
6138,evsb,ja,ev/Promyvion - Dem,
6139,evsb,ja,ev/Spire of Dem,
6140,evsb,ja,ev/Promyvion - Mea,
6141,evsb,ja,ev/Spire of Mea,
6142,evsb,ja,ev/Promyvion - Vahzl,
6143,evsb,ja,ev/Spire of Vahzl,
6144,evsb,ja,ev/Lufaise Meadows,
6145,evsb,ja,ev/Misareaux Coast,
6146,evsb,ja,ev/Tavnazian Safehold,
6147,evsb,ja,ev/Phomiuna Aqueducts,
6148,evsb,ja,ev/Sacrarium,
6149,evsb,ja,ev/Riverne - Site B01,
6150,evsb,ja,ev/Riverne - Site A01,
